Number of words,75205
Number of unique words,2311
Average word frequency,32.542190
Entropy,6.149864

Word,Frequency,Proportion,Entropy Term
upgrade,5,0.000066,0.000639
basketball,122,0.001622,0.010421
comfy,162,0.002154,0.013227
hard,111,0.001476,0.009621
surfaces,4,0.000053,0.000523
area,48,0.000638,0.004695
everytime,5,0.000066,0.000639
play,91,0.001210,0.008128
pretty,105,0.001396,0.009179
tough,12,0.000160,0.001395
tennis,59,0.000785,0.005610
used,126,0.001675,0.010709
court,33,0.000439,0.003393
theyll,13,0.000173,0.001497
week,93,0.001237,0.008280
looking,300,0.003989,0.022037
true,106,0.001409,0.009253
life,22,0.000293,0.002380
larger,136,0.001808,0.011421
normally,67,0.000891,0.006257
boy,28,0.000372,0.002940
description,17,0.000226,0.001898
correct,25,0.000332,0.002662
written,6,0.000080,0.000753
kid,39,0.000519,0.003923
save,10,0.000133,0.001187
boxes,4,0.000053,0.000523
mail,13,0.000173,0.001497
lil,19,0.000253,0.002093
comfortably,29,0.000386,0.003031
actually,73,0.000971,0.006734
numerous,6,0.000080,0.000753
par,5,0.000066,0.000639
recommend,221,0.002939,0.017132
ok,80,0.001064,0.007282
year,184,0.002447,0.014712
walking,184,0.002447,0.014712
long,176,0.002340,0.014176
replaced,11,0.000146,0.001292
highly,85,0.001130,0.007669
recommended,50,0.000665,0.004864
end,35,0.000465,0.003571
started,50,0.000665,0.004864
excelente,58,0.000771,0.005528
thicker,18,0.000239,0.001996
normal,81,0.001077,0.007360
insole,25,0.000332,0.002662
slippersbr,3,0.000040,0.000404
br,217,0.002885,0.016874
sore,10,0.000133,0.001187
tired,17,0.000226,0.001898
feeling,28,0.000372,0.002940
rest,12,0.000160,0.001395
airs,3,0.000040,0.000404
thinner,8,0.000106,0.000973
felt,82,0.001090,0.007438
tongue,66,0.000878,0.006177
attach,3,0.000040,0.000404
tried,95,0.001263,0.008431
walked,26,0.000346,0.002755
house,37,0.000492,0.003748
caused,4,0.000053,0.000523
blisters,30,0.000399,0.003122
thought,84,0.001117,0.007592
went,78,0.001037,0.007127
notice,15,0.000199,0.001699
dress,9,0.000120,0.001081
disappointment,8,0.000106,0.000973
husband,156,0.002074,0.012815
enjoy,25,0.000332,0.002662
forward,22,0.000293,0.002380
using,41,0.000545,0.004097
daily,28,0.000372,0.002940
exercise,16,0.000213,0.001799
rating,11,0.000146,0.001292
try,80,0.001064,0.007282
works,38,0.000505,0.003835
says,76,0.001011,0.006970
tho,11,0.000146,0.001292
quick,70,0.000931,0.006496
footwear,15,0.000199,0.001699
vibrant,13,0.000173,0.001497
value,35,0.000465,0.003571
delivered,61,0.000811,0.005773
classic,36,0.000479,0.003659
wanted,132,0.001755,0.011137
colorways,4,0.000053,0.000523
didnt,174,0.002314,0.014042
sacrifice,3,0.000040,0.000404
series,10,0.000133,0.001187
amazing,121,0.001609,0.010349
solid,37,0.000492,0.003748
shorts,19,0.000253,0.002093
jeans,19,0.000253,0.002093
best,257,0.003417,0.019407
minute,6,0.000080,0.000753
loved,207,0.002752,0.016227
sides,39,0.000519,0.003923
luck,6,0.000080,0.000753
extremely,101,0.001343,0.008881
ended,22,0.000293,0.002380
runs,106,0.001409,0.009253
beware,10,0.000133,0.001187
pleased,79,0.001050,0.007205
fashionable,5,0.000066,0.000639
maxs,5,0.000066,0.000639
workout,25,0.000332,0.002662
colour,9,0.000120,0.001081
happened,10,0.000133,0.001187
price,385,0.005119,0.027003
available,34,0.000452,0.003482
amazingly,10,0.000133,0.001187
excelent,38,0.000505,0.003835
men,12,0.000160,0.001395
worried,14,0.000186,0.001599
wonderfully,3,0.000040,0.000404
issues,50,0.000665,0.004864
plantar,10,0.000133,0.001187
fasciitis,5,0.000066,0.000639
damaged,14,0.000186,0.001599
confortable,28,0.000372,0.002940
bad,97,0.001290,0.008581
defect,11,0.000146,0.001292
impact,13,0.000173,0.001497
premium,4,0.000053,0.000523
materials,21,0.000279,0.002285
built,11,0.000146,0.001292
liner,10,0.000133,0.001187
blister,11,0.000146,0.001292
causing,6,0.000080,0.000753
expect,56,0.000745,0.005363
ask,17,0.000226,0.001898
arch,152,0.002021,0.012539
youd,6,0.000080,0.000753
longer,55,0.000731,0.005281
eventually,13,0.000173,0.001497
feels,106,0.001409,0.009253
youre,39,0.000519,0.003923
boyfriend,38,0.000505,0.003835
boss,3,0.000040,0.000404
thrilled,20,0.000266,0.002189
goes,18,0.000239,0.001996
womans,3,0.000040,0.000404
eye,7,0.000093,0.000864
fat,8,0.000106,0.000973
anytime,3,0.000040,0.000404
suggest,23,0.000306,0.002475
ðŸ˜,11,0.000146,0.001292
pool,7,0.000093,0.000864
trying,40,0.000532,0.004010
slippers,24,0.000319,0.002569
ladies,5,0.000066,0.000639
kind,30,0.000399,0.003122
work,177,0.002354,0.014243
months,92,0.001223,0.008204
