Number of pairs,46245.000000
Number of unique pairs,5867
Average pair frequency,7.882223
Pair entropy,8.084944

Pair,Frequency,Proportion,Entropy Term,Mutual Information
like going,4.000000,0.000086,0.000809,1.832420
like air,12.000000,0.000259,0.002143,1.962038
like looks,8.000000,0.000173,0.001499,1.543269
like picture,14.000000,0.000303,0.002453,3.467392
like way,9.000000,0.000195,0.001663,1.823312
like feel,11.000000,0.000238,0.001985,1.354427
like super,3.000000,0.000065,0.000626,0.805606
like time,8.000000,0.000173,0.001499,0.836992
like wear,10.000000,0.000216,0.001825,0.548876
like loose,4.000000,0.000086,0.000809,2.809336
like better,7.000000,0.000151,0.001331,1.506811
like excellent,3.000000,0.000065,0.000626,0.161390
like use,4.000000,0.000086,0.000809,1.033325
like comfort,3.000000,0.000065,0.000626,1.024545
like days,3.000000,0.000065,0.000626,1.402422
like definitely,3.000000,0.000065,0.000626,1.060136
like sole,5.000000,0.000108,0.000987,1.686031
like style,5.000000,0.000108,0.000987,1.327731
like good,14.000000,0.000303,0.002453,0.314066
like perfectly,3.000000,0.000065,0.000626,0.834098
like comfortable,14.000000,0.000303,0.002453,0.144467
like theyre,3.000000,0.000065,0.000626,0.887523
like wearing,26.000000,0.000562,0.004207,2.744196
like running,17.000000,0.000368,0.002907,1.763566
like second,4.000000,0.000086,0.000809,1.512898
like jordans,3.000000,0.000065,0.000626,1.580670
like snug,5.000000,0.000108,0.000987,1.727531
like right,3.000000,0.000065,0.000626,0.626097
like used,4.000000,0.000086,0.000809,1.438790
like kid,3.000000,0.000065,0.000626,2.323828
like walking,29.000000,0.000627,0.004624,3.041137
like long,5.000000,0.000108,0.000987,1.327731
like thought,3.000000,0.000065,0.000626,1.556573
like try,3.000000,0.000065,0.000626,1.605363
like wanted,3.000000,0.000065,0.000626,1.104588
like didnt,3.000000,0.000065,0.000626,0.828334
like expect,3.000000,0.000065,0.000626,1.962038
like longer,3.000000,0.000065,0.000626,1.980056
like youre,5.000000,0.000108,0.000987,2.834654
like slippers,4.000000,0.000086,0.000809,3.097018
like worn,5.000000,0.000108,0.000987,1.310829
like son,7.000000,0.000151,0.001331,0.533902
like loves,3.000000,0.000065,0.000626,-0.340547
like amazon,3.000000,0.000065,0.000626,1.038630
like em,5.000000,0.000108,0.000987,2.420678
like said,3.000000,0.000065,0.000626,1.199898
like black,3.000000,0.000065,0.000626,1.242457
like water,3.000000,0.000065,0.000626,2.586192
like ones,4.000000,0.000086,0.000809,1.690104
like expensive,3.000000,0.000065,0.000626,2.203200
like memory,3.000000,0.000065,0.000626,3.790165
like foam,3.000000,0.000065,0.000626,3.154176
like online,3.000000,0.000065,0.000626,2.055564
like somewhat,3.000000,0.000065,0.000626,1.876516
like high,3.000000,0.000065,0.000626,1.216705
like clown,4.000000,0.000086,0.000809,4.665634
like inch,3.000000,0.000065,0.000626,3.684805
like store,4.000000,0.000086,0.000809,1.856231
like cloud,6.000000,0.000130,0.001161,4.734627
like glove,32.000000,0.000692,0.005035,4.799165
like original,3.000000,0.000065,0.000626,2.461029
like fact,3.000000,0.000065,0.000626,2.620094
like sock,6.000000,0.000130,0.001161,3.847323
like clouds,10.000000,0.000216,0.001825,4.626413
like photo,3.000000,0.000065,0.000626,3.502483
like soft,4.000000,0.000086,0.000809,2.116189
like jordan,6.000000,0.000130,0.001161,2.506150
like golf,10.000000,0.000216,0.001825,1.350721
like typical,4.000000,0.000086,0.000809,3.441858
like free,6.000000,0.000130,0.001161,2.323828
like piece,3.000000,0.000065,0.000626,3.042951
