Id,Label,timeset,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,pageranks,clustering
223,material,,0,0,0,0,0,0,0
224,doesnt,,0,0,0,0,0,0,0
225,make,,0,0,0,0,0,0,0
226,sore,,0,0,0,0,0,0,0
227,trying,,0,0,0,0,0,0,0
228,pregnant,,0,0,0,0,0,0,0
229,styles,,0,0,0,0,0,0,0
230,sanuk,,0,0,0,0,0,0,0
231,prefer,,0,0,0,0,0,0,0
232,footbed,,0,0,0,0,0,0,0
233,comparison,,0,0,0,0,0,0,0
234,probably,,0,0,0,0,0,0,0
235,kept,,0,0,0,0,0,0,0
236,band,,0,0,0,0,0,0,0
237,left,,0,0,0,0,0,0,0
238,deep,,0,0,0,0,0,0,0
239,major,,0,0,0,0,0,0,0
240,plantar,,0,0,0,0,0,0,0
241,year,,0,0,0,0,0,0,0
242,yesterday,,0,0,0,0,0,0,0
243,hope,,0,0,0,0,0,0,0
244,yoga,,0,0,0,0,0,0,0
245,soon,,0,0,0,0,0,0,0
246,excellent,,0,0,0,0,0,0,0
247,hopefully,,0,0,0,0,0,0,0
248,proud,,0,0,0,0,0,0,0
249,owner,,0,0,0,0,0,0,0
250,second,,0,0,0,0,0,0,0
251,ordered,,1,2,0.695652,0.78125,1.799093,0.027083,0.88587
252,color,,0,0,0,0,0,0,0
253,version,,0,0,0,0,0,0,0
254,want,,0,0,0,0,0,0,0
255,extra,,0,0,0,0,0,0,0
256,room,,0,0,0,0,0,0,0
257,dangerous,,0,0,0,0,0,0,0
258,way,,0,0,0,0,0,0,0
259,tad,,0,0,0,0,0,0,0
260,snugger,,0,0,0,0,0,0,0
261,normally,,0,0,0,0,0,0,0
262,thongs,,0,0,0,0,0,0,0
263,arches,,0,0,0,0,0,0,0
264,mat,,0,0,0,0,0,0,0
265,conform,,0,0,0,0,0,0,0
266,nicely,,0,0,0,0,0,0,0
267,flexible,,0,0,0,0,0,0,0
268,irritation,,0,0,0,0,0,0,0
269,usually,,0,0,0,0,0,0,0
270,awesome,,0,0,0,0,0,0,0
271,able,,0,0,0,0,0,0,0
272,keen,,0,0,0,0,0,0,0
273,cloth,,0,0,0,0,0,0,0
274,tolerable,,0,0,0,0,0,0,0
275,nice,,0,2,0.820513,0.890625,5.035416,0.026578,0.805556
276,times,,0,0,0,0,0,0,0
277,shape,,0,0,0,0,0,0,0
278,air,,0,0,0,0,0,0,0
279,highly,,0,0,0,0,0,0,0
280,hairdresser,,0,0,0,0,0,0,0
281,told,,0,0,0,0,0,0,0
282,came,,0,0,0,0,0,0,0
283,home,,0,0,0,0,0,0,0
284,looked,,0,0,0,0,0,0,0
285,days,,0,0,0,0,0,0,0
286,sensitive,,0,0,0,0,0,0,0
287,amazingly,,0,0,0,0,0,0,0
288,rest,,0,0,0,0,0,0,0
289,tricky,,0,0,0,0,0,0,0
290,figure,,0,0,0,0,0,0,0
291,daughter,,2,2,0.8,0.875,4.769528,0.028741,0.84188
292,loves,,2,2,0.820513,0.890625,3.236802,0.025806,0.833333
293,bulky,,0,0,0,0,0,0,0
294,multi,,0,0,0,0,0,0,0
295,softer,,0,0,0,0,0,0,0
296,returned,,0,0,0,0,0,0,0
297,hold,,0,0,0,0,0,0,0
298,place,,0,0,0,0,0,0,0
299,falling,,0,0,0,0,0,0,0
300,feels,,0,0,0,0,0,0,0
301,cheap,,0,0,0,0,0,0,0
302,ripping,,0,0,0,0,0,0,0
303,saw,,0,0,0,0,0,0,0
304,friend,,0,0,0,0,0,0,0
305,solid,,0,0,0,0,0,0,0
306,covering,,0,0,0,0,0,0,0
307,dig,,0,0,0,0,0,0,0
308,mind,,0,0,0,0,0,0,0
309,walked,,0,0,0,0,0,0,0
310,miles,,0,0,0,0,0,0,0
311,week,,0,0,0,0,0,0,0
312,discovered,,0,0,0,0,0,0,0
313,mile,,0,0,0,0,0,0,0
314,br,,0,0,0,0,0,0,0
315,star,,0,0,0,0,0,0,0
316,comes,,0,0,0,0,0,0,0
317,black,,0,0,0,0,0,0,0
318,fell,,0,0,0,0,0,0,0
319,wonderfully,,0,0,0,0,0,0,0
320,longer,,0,0,0,0,0,0,0
321,couple,,0,0,0,0,0,0,0
322,wide,,1,2,0.780488,0.859375,5.399472,0.03017,0.809524
323,alternative,,0,0,0,0,0,0,0
324,plain,,0,0,0,0,0,0,0
325,water,,0,0,0,0,0,0,0
326,everyday,,0,0,0,0,0,0,0
327,class,,0,0,0,0,0,0,0
328,running,,0,0,0,0,0,0,0
329,soooo,,0,0,0,0,0,0,0
330,stay,,0,0,0,0,0,0,0
331,unlike,,0,0,0,0,0,0,0
332,easily,,0,0,0,0,0,0,0
333,large,,0,0,0,0,0,0,0
334,perfectly,,0,0,0,0,0,0,0
335,matter,,0,0,0,0,0,0,0
336,barely,,0,0,0,0,0,0,0
337,funny,,0,0,0,0,0,0,0
338,sock,,0,0,0,0,0,0,0
339,omg,,0,0,0,0,0,0,0
340,heaven,,0,0,0,0,0,0,0
341,footwear,,0,0,0,0,0,0,0
342,brand,,0,0,0,0,0,0,0
343,went,,0,0,0,0,0,0,0
344,trip,,0,0,0,0,0,0,0
345,vegas,,0,0,0,0,0,0,0
346,end,,0,0,0,0,0,0,0
347,whatsoever,,0,0,0,0,0,0,0
348,seriously,,0,0,0,0,0,0,0
349,travel,,0,0,0,0,0,0,0
350,bag,,0,0,0,0,0,0,0
