Number of words,102449
Number of unique words,2620
Average word frequency,39.102672
Entropy,6.250748

Word,Frequency,Proportion,Entropy Term
suffer,14,0.000137,0.001216
affordable,21,0.000205,0.001741
month,141,0.001376,0.009068
use,220,0.002147,0.013193
bed,23,0.000225,0.001886
starting,19,0.000185,0.001594
disappointing,30,0.000293,0.002382
hoping,66,0.000644,0.004733
touch,10,0.000098,0.000901
reported,3,0.000029,0.000306
reviewers,20,0.000195,0.001667
used,144,0.001406,0.009231
tighter,21,0.000205,0.001741
fits,235,0.002294,0.013941
types,11,0.000107,0.000981
backs,3,0.000029,0.000306
surgery,21,0.000205,0.001741
years,215,0.002099,0.012941
boy,27,0.000264,0.002172
let,34,0.000332,0.002659
tell,51,0.000498,0.003786
huge,40,0.000390,0.003064
difference,29,0.000283,0.002313
white,92,0.000898,0.006300
swell,7,0.000068,0.000655
miracle,5,0.000049,0.000485
lightweight,107,0.001044,0.007169
lack,22,0.000215,0.001814
beginning,12,0.000117,0.001060
beautiful,75,0.000732,0.005285
ordinary,3,0.000029,0.000306
service,50,0.000488,0.003721
house,42,0.000410,0.003197
barefoot,8,0.000078,0.000739
comfortably,67,0.000654,0.004795
area,76,0.000742,0.005346
brace,9,0.000088,0.000820
picky,19,0.000185,0.001594
height,49,0.000478,0.003657
stretch,68,0.000664,0.004857
loose,103,0.001005,0.006940
changes,5,0.000049,0.000485
adds,5,0.000049,0.000485
significant,5,0.000049,0.000485
tiny,6,0.000059,0.000571
difficulty,8,0.000078,0.000739
beach,9,0.000088,0.000820
pool,8,0.000078,0.000739
street,3,0.000029,0.000306
provide,49,0.000478,0.003657
smart,6,0.000059,0.000571
offered,9,0.000088,0.000820
multicolor,3,0.000029,0.000306
mens,20,0.000195,0.001667
men,8,0.000078,0.000739
wanted,116,0.001132,0.007681
husband,131,0.001279,0.008519
stability,7,0.000068,0.000655
flat,77,0.000752,0.005406
tends,15,0.000146,0.001293
orthopedic,9,0.000088,0.000820
steps,6,0.000059,0.000571
basic,7,0.000068,0.000655
supporting,5,0.000049,0.000485
slip,314,0.003065,0.017739
awkward,7,0.000068,0.000655
spots,10,0.000098,0.000901
youre,45,0.000439,0.003396
example,4,0.000039,0.000396
wife,58,0.000566,0.004233
pleased,77,0.000752,0.005406
slips,21,0.000205,0.001741
literally,24,0.000234,0.001958
actual,14,0.000137,0.001216
stand,78,0.000761,0.005467
bother,18,0.000176,0.001519
light,449,0.004383,0.023798
weight,131,0.001279,0.008519
hardly,4,0.000039,0.000396
squishy,15,0.000146,0.001293
periods,25,0.000244,0.002030
casual,71,0.000693,0.005041
slightly,77,0.000752,0.005406
noticeable,11,0.000107,0.000981
noise,14,0.000137,0.001216
shoesandal,4,0.000039,0.000396
conforms,4,0.000039,0.000396
making,65,0.000634,0.004671
flipflop,7,0.000068,0.000655
thinks,16,0.000156,0.001369
snug,75,0.000732,0.005285
terribly,7,0.000068,0.000655
actually,109,0.001064,0.007284
