Number of pairs,65209.000000
Number of unique pairs,8257
Average pair frequency,7.897420
Pair entropy,8.403745

Pair,Frequency,Proportion,Entropy Term,Mutual Information
love happy,5.000000,0.000077,0.000727,0.488440
love comfy,8.000000,0.000123,0.001105,0.743332
love expected,4.000000,0.000061,0.000595,0.157938
love theyre,6.000000,0.000092,0.000855,0.877376
love really,7.000000,0.000107,0.000981,0.067227
love size,3.000000,0.000046,0.000459,-1.612301
love support,6.000000,0.000092,0.000855,0.165954
love fact,6.000000,0.000092,0.000855,2.404252
love pair,26.000000,0.000399,0.003121,0.731002
love toes,4.000000,0.000061,0.000595,0.248767
love worth,3.000000,0.000046,0.000459,1.056424
love price,7.000000,0.000107,0.000981,0.382366
love perfect,11.000000,0.000169,0.001465,0.683571
love need,3.000000,0.000046,0.000459,0.140133
love does,5.000000,0.000077,0.000727,1.430049
love sandal,4.000000,0.000061,0.000595,1.447290
love little,15.000000,0.000230,0.001927,0.608726
love feel,11.000000,0.000169,0.001465,0.933308
love like,9.000000,0.000138,0.001227,-0.251732
love walk,3.000000,0.000046,0.000459,0.159936
love wish,4.000000,0.000061,0.000595,0.945198
love soles,3.000000,0.000046,0.000459,0.690964
love didnt,3.000000,0.000046,0.000459,0.113052
love soft,3.000000,0.000046,0.000459,0.739754
love colors,19.000000,0.000291,0.002372,2.249109
love loved,6.000000,0.000092,0.000855,0.637972
love did,3.000000,0.000046,0.000459,0.128437
love fit,42.000000,0.000644,0.004733,1.037693
love amazon,5.000000,0.000077,0.000727,1.129628
love doesnt,3.000000,0.000046,0.000459,0.853083
love make,3.000000,0.000046,0.000459,0.413539
love year,3.000000,0.000046,0.000459,-0.414428
love yoga,3.000000,0.000046,0.000459,2.215661
love excellent,4.000000,0.000061,0.000595,0.552979
love second,5.000000,0.000077,0.000727,0.888918
love ordered,6.000000,0.000092,0.000855,0.287769
love color,20.000000,0.000307,0.002481,2.157982
love want,4.000000,0.000061,0.000595,1.241691
love way,12.000000,0.000184,0.001583,1.660520
love tad,3.000000,0.000046,0.000459,2.462521
love nice,9.000000,0.000138,0.001227,0.432620
love came,3.000000,0.000046,0.000459,0.776122
love daughter,20.000000,0.000307,0.002481,0.734767
love loves,11.000000,0.000169,0.001465,-0.105222
love br,3.000000,0.000046,0.000459,0.398193
love wide,3.000000,0.000046,0.000459,-0.393949
love soooo,3.000000,0.000046,0.000459,3.116448
love perfectly,3.000000,0.000046,0.000459,0.551498
love brand,9.000000,0.000138,0.001227,1.615223
love good,17.000000,0.000261,0.002151,0.161113
love purchased,3.000000,0.000046,0.000459,0.221811
love fits,8.000000,0.000123,0.001105,1.202641
love years,3.000000,0.000046,0.000459,0.310759
love lightweight,4.000000,0.000061,0.000595,1.296250
love slip,6.000000,0.000092,0.000855,0.625151
love pleased,3.000000,0.000046,0.000459,1.337591
love light,16.000000,0.000245,0.002040,1.248350
love sneakers,4.000000,0.000061,0.000595,0.621971
love quality,6.000000,0.000092,0.000855,0.628341
love sandles,3.000000,0.000046,0.000459,3.889637
love shoesi,5.000000,0.000077,0.000727,3.994998
love school,5.000000,0.000077,0.000727,0.919223
love narrow,3.000000,0.000046,0.000459,0.287769
love foam,29.000000,0.000445,0.003432,2.007281
love memory,26.000000,0.000399,0.003121,1.985809
love em,10.000000,0.000153,0.001347,3.840847
love thembr,5.000000,0.000077,0.000727,3.301851
love thank,3.000000,0.000046,0.000459,1.076227
love theses,5.000000,0.000077,0.000727,3.196490
love shoesbr,3.000000,0.000046,0.000459,2.280200
love match,3.000000,0.000046,0.000459,2.385560
love velcro,3.000000,0.000046,0.000459,1.138102
love sketcher,4.000000,0.000061,0.000595,1.908636
love bright,4.000000,0.000061,0.000595,1.858205
love kids,4.000000,0.000061,0.000595,1.078730
love tennis,3.000000,0.000046,0.000459,1.897207
love daughters,3.000000,0.000046,0.000459,1.711105
love boots,11.000000,0.000169,0.001465,1.328191
love sketches,6.000000,0.000092,0.000855,3.889637
love son,7.000000,0.000107,0.000981,0.476606
love boot,3.000000,0.000046,0.000459,0.954009
love twinkle,5.000000,0.000077,0.000727,1.958116
love lights,7.000000,0.000107,0.000981,1.297586
thought shoe,5.000000,0.000077,0.000727,1.147963
thought great,7.000000,0.000107,0.000981,1.503672
thought wear,5.000000,0.000077,0.000727,1.383155
thought shoes,8.000000,0.000123,0.001105,0.674927
thought comfortable,6.000000,0.000092,0.000855,0.963104
thought small,3.000000,0.000046,0.000459,2.280909
thought little,5.000000,0.000077,0.000727,1.981743
thought id,6.000000,0.000092,0.000855,4.569507
thought different,4.000000,0.000061,0.000595,3.204266
thought maybe,3.000000,0.000046,0.000459,3.835538
thought fit,3.000000,0.000046,0.000459,0.870265
thought daughter,3.000000,0.000046,0.000459,1.309276
thought stretch,3.000000,0.000046,0.000459,3.933519
thought getting,4.000000,0.000061,0.000595,3.855741
thought try,10.000000,0.000153,0.001347,4.497187
great shoe,164.000000,0.002515,0.015053,2.076213
great love,26.000000,0.000399,0.003121,0.344229
great time,8.000000,0.000123,0.001105,0.259942
great bought,12.000000,0.000184,0.001583,0.303844
great especially,3.000000,0.000046,0.000459,1.136501
great wear,18.000000,0.000276,0.002262,0.101910
great walking,14.000000,0.000215,0.001813,1.152407
great shoes,254.000000,0.003895,0.021610,1.570642
great look,12.000000,0.000184,0.001583,0.687427
great comfortable,87.000000,0.001334,0.008831,1.075074
great feet,31.000000,0.000475,0.003637,0.623053
great work,101.000000,0.001549,0.010022,1.827348
great day,20.000000,0.000307,0.002481,0.494953
great style,4.000000,0.000061,0.000595,0.503252
great comfort,16.000000,0.000245,0.002040,1.767656
great sandals,8.000000,0.000123,0.001105,0.951276
great super,13.000000,0.000199,0.001699,1.343452
great summer,9.000000,0.000138,0.001227,1.869179
great wearing,3.000000,0.000046,0.000459,-0.603558
great flip,5.000000,0.000077,0.000727,1.226476
great flops,3.000000,0.000046,0.000459,0.975727
great skechers,7.000000,0.000107,0.000981,-0.051059
great happy,4.000000,0.000061,0.000595,0.174747
great comfy,10.000000,0.000153,0.001347,0.875927
great better,3.000000,0.000046,0.000459,-0.047507
great expected,7.000000,0.000107,0.000981,0.627005
great theyre,4.000000,0.000061,0.000595,0.381362
great really,9.000000,0.000138,0.001227,0.227992
great size,5.000000,0.000077,0.000727,-1.192024
great right,5.000000,0.000077,0.000727,0.397891
great small,3.000000,0.000046,0.000459,-0.281270
great arch,22.000000,0.000337,0.002697,1.799453
great support,57.000000,0.000874,0.006156,2.326697
great pair,31.000000,0.000475,0.003637,0.816343
great tight,3.000000,0.000046,0.000459,0.135527
great price,94.000000,0.001442,0.009430,2.889201
great perfect,16.000000,0.000245,0.002040,0.967715
great sandal,8.000000,0.000123,0.001105,2.049889
great little,12.000000,0.000184,0.001583,0.295034
great high,5.000000,0.000077,0.000727,1.234139
great purchase,15.000000,0.000230,0.001927,1.990800
great feel,12.000000,0.000184,0.001583,0.929770
great like,10.000000,0.000153,0.001347,-0.236921
great sturdy,3.000000,0.000046,0.000459,1.172007
great long,7.000000,0.000107,0.000981,0.492725
great wish,3.000000,0.000046,0.000459,0.566967
great said,3.000000,0.000046,0.000459,0.466884
great sole,4.000000,0.000061,0.000595,0.310185
great product,56.000000,0.000859,0.006063,3.199467
great deal,13.000000,0.000199,0.001699,2.979647
great colors,6.000000,0.000092,0.000855,1.005880
great months,7.000000,0.000107,0.000981,0.691943
great loved,6.000000,0.000092,0.000855,0.547423
great stars,3.000000,0.000046,0.000459,1.026500
great foot,5.000000,0.000077,0.000727,-0.257900
great did,4.000000,0.000061,0.000595,0.325570
great maybe,3.000000,0.000046,0.000459,1.273360
great looking,25.000000,0.000383,0.003016,2.260073
great fit,93.000000,0.001426,0.009345,1.742074
great amazon,5.000000,0.000077,0.000727,1.039078
great far,8.000000,0.000123,0.001105,1.173514
great styles,3.000000,0.000046,0.000459,2.094340
great year,12.000000,0.000184,0.001583,0.881318
great excellent,4.000000,0.000061,0.000595,0.462430
great second,4.000000,0.000061,0.000595,0.575225
great ordered,4.000000,0.000061,0.000595,-0.208245
great color,5.000000,0.000077,0.000727,0.681138
great room,4.000000,0.000061,0.000595,1.561042
great awesome,4.000000,0.000061,0.000595,0.944056
great nice,12.000000,0.000184,0.001583,0.629753
great shape,5.000000,0.000077,0.000727,2.024136
great daughter,16.000000,0.000245,0.002040,0.421074
great loves,11.000000,0.000169,0.001465,-0.195771
great feels,3.000000,0.000046,0.000459,0.731035
great wide,4.000000,0.000061,0.000595,-0.196816
great everyday,3.000000,0.000046,0.000459,1.172007
great running,9.000000,0.000138,0.001227,1.821926
great brand,7.000000,0.000107,0.000981,1.273360
great end,3.000000,0.000046,0.000459,0.946457
great travel,3.000000,0.000046,0.000459,3.511406
great true,3.000000,0.000046,0.000459,0.628003
great looks,6.000000,0.000092,0.000855,1.364014
great good,22.000000,0.000337,0.002697,0.328393
great best,3.000000,0.000046,0.000459,0.386841
great fits,4.000000,0.000061,0.000595,0.418944
great lightweight,8.000000,0.000123,0.001105,1.898848
great beautiful,4.000000,0.000061,0.000595,1.561042
great service,9.000000,0.000138,0.001227,2.777437
great comfortably,3.000000,0.000046,0.000459,1.386155
great husband,3.000000,0.000046,0.000459,0.715651
great slip,19.000000,0.000291,0.002372,1.687282
great light,11.000000,0.000169,0.001465,0.783108
great casual,3.000000,0.000046,0.000459,1.328168
great standing,5.000000,0.000077,0.000727,1.853178
great seller,3.000000,0.000046,0.000459,2.125112
great fast,11.000000,0.000169,0.001465,2.102639
great sneakers,16.000000,0.000245,0.002040,1.917717
great return,3.000000,0.000046,0.000459,0.248514
great quality,30.000000,0.000460,0.003535,2.147230
great extremely,4.000000,0.000061,0.000595,1.026500
great absolutely,4.000000,0.000061,0.000595,1.010995
great uncomfortable,3.000000,0.000046,0.000459,0.484902
great thanks,4.000000,0.000061,0.000595,1.521821
great shipping,3.000000,0.000046,0.000459,1.160031
great people,4.000000,0.000061,0.000595,1.853178
great try,3.000000,0.000046,0.000459,0.731035
great school,5.000000,0.000077,0.000727,0.828674
great narrow,3.000000,0.000046,0.000459,0.197220
great foam,5.000000,0.000077,0.000727,0.158874
great memory,8.000000,0.000123,0.001105,0.716605
great money,4.000000,0.000061,0.000595,1.116356
great arrived,3.000000,0.000046,0.000459,1.102211
great idea,5.000000,0.000077,0.000727,2.843577
great reviews,4.000000,0.000061,0.000595,1.303819
great durable,3.000000,0.000046,0.000459,0.965875
great runs,4.000000,0.000061,0.000595,1.704143
great non,6.000000,0.000092,0.000855,1.853178
great job,9.000000,0.000138,0.001227,1.998112
great box,4.000000,0.000061,0.000595,1.273360
great working,11.000000,0.000169,0.001465,1.899698
great old,5.000000,0.000077,0.000727,-0.063744
great wet,3.000000,0.000046,0.000459,1.300388
great shoesbr,3.000000,0.000046,0.000459,2.189650
great item,5.000000,0.000077,0.000727,2.464087
great feeling,6.000000,0.000092,0.000855,3.025899
great kids,8.000000,0.000123,0.001105,1.681328
great choice,3.000000,0.000046,0.000459,2.595116
great sneaker,10.000000,0.000153,0.001347,2.340473
great low,3.000000,0.000046,0.000459,2.156861
great daughters,4.000000,0.000061,0.000595,1.908238
great boots,18.000000,0.000276,0.002262,1.730118
great traction,6.000000,0.000092,0.000855,2.988158
great conditions,3.000000,0.000046,0.000459,3.288263
